"Multi-Targeted Adversarial Example in Evasion Attack on Deep Neural Network","H. Kwon; Y. Kim; K. Park; H. Yoon; D. Choi","School of Computing, Korea Advanced Institute of Science and Technology, Daejeon, South Korea; Department of Electrical Engineering, Korea Military Academy, Seoul, South Korea; Department of Computer and Information Security, Sejong University, Seoul, South Korea; School of Computing, Korea Advanced Institute of Science and Technology, Daejeon, South Korea; Department of Medical Information, Kongju National University, Gongju, South Korea","IEEE Access","","2018","6","","46084","46096","Deep neural networks (DNNs) are widely used for image recognition, speech recognition, pattern analysis, and intrusion detection. Recently, the adversarial example attack, in which the input data are only slightly modified, although not an issue for human interpretation, is a serious threat to a DNN as an attack as it causes the machine to misinterpret the data. The adversarial example attack has been receiving considerable attention owing to its potential threat to machine learning. It is divided into two categories: targeted adversarial example and untargeted adversarial example. The untargeted adversarial example happens when machines misclassify an object into an incorrect class. In contrast, the targeted adversarial example attack causes machines to misinterpret the image as the attacker's desired class. Thus, the latter is a more elaborate and powerful attack than the former. The existing targeted adversarial example is a single targeted attack that allows only one class to be recognized. However, in some cases, a multitargeted adversarial example can be useful for an attacker to make multiple models recognize a single original image as different classes. For example, an attacker can use a single road sign generated by a multi-targeted adversarial example scheme to make model A recognize it as a stop sign and model B recognize it as a left turn, whereas a human might recognize it as a right turn. Therefore, in this paper, we propose a multi-targeted adversarial example that attacks multiple models within each target class with a single modified image. To produce such examples, we carried out a transformation to maximize the probability of different target classes by multiple models. We used the MNIST datasets and TensorFlow library for our experiment. The experimental results showed that the proposed scheme for generating a multi-targeted adversarial example achieved a 100% attack success rate.","","","10.1109/ACCESS.2018.2866197","National Research Foundation of Korea; Korea Government (MSIT); Institute for Information and Communications Technology Promotion; Korea Government (MSIT) (Security Technologies for Financial Fraud Prevention on Fintech); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8439941","Deep neural network (DNN);evasion attack;adversarial example;machine learning","Target recognition;Distortion;Machine learning;Training;Neural networks;Image recognition;Perturbation methods","image recognition;learning (artificial intelligence);neural nets;pattern classification;probability;security of data","evasion attack;deep neural network;untargeted adversarial example;targeted adversarial example attack;multitargeted adversarial example scheme;image recognition;speech recognition;pattern analysis;intrusion detection;human interpretation;machine learning;probability;tensorflow library","","6","","44","","","","","IEEE","IEEE Journals"
"Restricted Evasion Attack: Generation of Restricted-Area Adversarial Example","H. Kwon; H. Yoon; D. Choi","School of Computing, Korea Advanced Institute of Science and Technology, Daejeon, South Korea; School of Computing, Korea Advanced Institute of Science and Technology, Daejeon, South Korea; Department of Medical Information, Kongju National University, Gongju, South Korea","IEEE Access","","2019","7","","60908","60919","Deep neural networks (DNNs) show superior performance in image and speech recognition. However, adversarial examples created by adding a little noise to an original sample can lead to misclassification by a DNN. Conventional studies on adversarial examples have focused on ways of causing misclassification by a DNN by modulating the entire image. However, in some cases, a restricted adversarial example may be required in which only certain parts of the image are modified rather than the entire image and that results in misclassification by the DNN. For example, when the placement of a road sign has already been completed, an attack may be required that will change only a specific part of the sign, such as by placing a sticker on it, to cause misidentification of the entire image. As another example, an attack may be required that causes a DNN to misinterpret images according to a minimal modulation of the outside border of the image. In this paper, we propose a new restricted adversarial example that modifies only a restricted area to cause misclassification by a DNN while minimizing distortion from the original sample. It can also select the size of the restricted area. We used the CIFAR10 and ImageNet datasets to evaluate the performance. We measured the attack success rate and distortion of the restricted adversarial example while adjusting the size, shape, and position of the restricted area. The results show that the proposed scheme generates restricted adversarial examples with a 100% attack success rate in a restricted area of the whole image (approximately 14% for CIFAR10 and 1.07% for ImageNet) while minimizing the distortion distance.","","","10.1109/ACCESS.2019.2915971","National Research Foundation of Korea; Institute for Information and communications Technology Promotion; Security Technologies for Financial Fraud Prevention on Fintech; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8710245","Deep neural network (DNN);adversarial example;machine learning;evasion attack;restricted area","Distortion;Distortion measurement;Neural networks;Shape;Training;Speech recognition;Rate distortion theory","image classification;neural nets;speech recognition","DNN;restricted adversarial example;speech recognition;deep neural networks;evasion attack;image recognition","","1","","30","","","","","IEEE","IEEE Journals"
"Which Channel to Ask My Question?: Personalized Customer Service Request Stream Routing Using Deep Reinforcement Learning","Z. Liu; C. Long; X. Lu; Z. Hu; J. Zhang; Y. Wang","School of Software, Shandong University, Jinan, China; Ant Financial Services Group, Z Space, Hangzhou, China; School of Science, RMIT University, Melbourne, VIC, Australia; Alibaba Group, Hangzhou, China; School of Computer Science and Engineering, Nanyang Technological University, Singapore; Ant Financial Services Group, Z Space, Hangzhou, China","IEEE Access","","2019","7","","107744","107756","Customer services are critical to all companies, as they may directly connect to the brand reputation. Due to a great number of customers, e-commerce companies often employ multiple communication channels to answer customers' questions, for example, Chatbot and Hotline. On one hand, each channel has limited capacity to respond to customers' requests; on the other hand, customers have different preferences over these channels. The current production systems are mainly built based on business rules that merely consider the tradeoffs between the resources and customers' satisfaction. To achieve the optimal tradeoff between the resources and customers' satisfaction, we propose a new framework based on deep reinforcement learning that directly takes both resources and user model into account. In addition to the framework, we also propose a new deep-reinforcement-learning-based routing method-double dueling deep Q-learning with prioritized experience replay (PER-DoDDQN). We evaluate our proposed framework and method using both synthetic and a real customer service log data from a large financial technology company. We show that our proposed deep-reinforcement-learning-based framework is superior to the existing production system. Moreover, we also show that our proposed PER-DoDDQN is better than all other deep Q-learning variants in practice, which provides a more optimal routing plan. These observations suggest that our proposed method can seek the tradeoff, where both channel resources and customers' satisfaction are optimal.","","","10.1109/ACCESS.2019.2932047","National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8784156","Deep reinforcement learning;personalized customer service;time-series data processing","Customer services;Routing;Companies;Reinforcement learning;Channel capacity","customer satisfaction;customer services;electronic commerce;learning (artificial intelligence);marketing data processing;personal information systems;user modelling","e-commerce companies;multiple communication channels;user model;financial technology company;deep-reinforcement-learning-based framework;deep Q-learning variants;channel resources;personalized customer service request stream routing;brand reputation;customer questions;business rules;customer satisfaction;double dueling deep Q-learning with prioritized experience replay;PER-DoDDQN;customer service log data;optimal routing plan","","","","44","CCBY","","","","IEEE","IEEE Journals"
"A Glimpse into the World of FinTech Accelerators?The Open Vault at OCBC","S. Sinha","Computer Science and Engineering, Nanyang Technological University, Singapore","IEEE Potentials","","2017","36","6","20","23","Financial technology (FinTech) has been garnering increased attention in recent years. The financial services industry that provides various types of financial, banking, and insurance services to customers (both individual or corporate) is showing more interest in adopting technology to innovate and grow. Technology, especially information systems, is not alien to this industry. According to the work of Garbade and Silber, telecommunication was first introduced into bank markets back in 1846. This helped reduce stock price differentials between New York and geographically dispersed regional stock markets. Similarly, the introduction of the transatlantic cable in 1866 enabled a securities trade originating from the United Kingdom and destined for the U.S. market to be completed in one day rather than the usual six.",";","","10.1109/MPOT.2017.2737238","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8103073","","Banking;Data analysis;Finance;Technological innovation;Artificial intelligence;Security;Financial management","","","","","","2","","","","","IEEE","IEEE Magazines"
"Analysis of the Application of Big Data Technologies in the Financial Sphere","A. V. Bataev","Graduate School of State and Financial Management, Economics and Trade Peter the Great St. Petersburg Polytechnic University, Saint-Petersburg, Russia","2018 IEEE International Conference Quality Management Transport and Information Security Information Technologies (IT&QM&IS)","","2018","","","568","572","The last years' global development is characterized by the mass introduction of information and communication technologies in all spheres of economic development. The implementation of digital technologies acquired explosive character recently. It is no coincidence that the term ""digital economy"", indicating the use of the most advanced digital technologies in various sectors of the world economy, has emerged in past years. Today, digital transformation occurs in virtually all areas of economic development, for example, Industry 4.0 in industry, Fintech in the financial sector. The main breakthrough technologies of digital transformation are cloud computing technology, cyber - physical systems, artificial intelligence, and technologies for analysis and processing of big data. One of the drivers of digital modernization is the big data direction. The rapid development of this sphere is explained by the intermittent growth of information, which leads to the impossibility of applying classical methods and tools for processing available data. The paper analyzes the technologies and methods of processing information in the field of big data. Future development of the sectors of the field of big data is given. The research of the big data market in various sectors of economic development was conducted; the leaders in this field are identified. The main directions of using big data in financial institutions as one of the key players in the market are analyzed. The study of the big data market in the financial sphere was carried out; financial indicators, dynamics of the market growth were determined. The main reasons that prevent the big data introduction in financial institutions are shown. The prognosis for the further development of the use of big data in the financial sphere is given.","","","10.1109/ITMQIS.2018.8525121","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8525121","information technology management;digital transformation;big data;financial institutions;implementation perspectives","Big Data;Economics;Tools;Companies;Investment;Industries","artificial intelligence;Big Data;cloud computing;cyber-physical systems;financial data processing;information technology","economic development;financial institutions;big data market;financial sphere;big data technologies;communication technologies;digital transformation;financial sector;digital modernization;big data direction;digital economy;digital technologies;information technologies;cloud computing technology;cyber-physical systems;artificial intelligence","","","","19","","","","","IEEE","IEEE Conferences"
"The use of big data analytics to predict the foreign exchange rate based on public media: A machine-learning experiment","R. Tsaih; B. Kuo; T. Lin; C. Hsu","National Chengchi University; National Chengchi University; National Chengchi University; National Chengchi University and Lee-Ming Institute of Technology","IT Professional","","2018","20","2","34","41","The authors analyze relevant public information provided by new media to predict the movement of the USD/TWD exchange rate and explore whether big data analytics with machine-learning modeling can exceed the random walk mechanism and the notion of market efficiency.",";","","10.1109/MITP.2018.021921649","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8338018","Text Mining;Machine Learning;FinTech;IT Professional;big data analysis;big data analytics;big data;financial technologies;foreign exchange rate","Exchange rates;Big Data;Social network services;Financial management;Machine learning;Currencies;Training data;Data analytics","Big Data;data analysis;exchange rates;financial data processing;foreign exchange trading;learning (artificial intelligence);random processes","machine-learning modeling;foreign exchange rate;public media;USD/TWD exchange rate;Big Data analytics;public information;random walk mechanism","","","","10","","","","","IEEE","IEEE Magazines"
"Financial Inclusion Through FinTech – A Case of Lost Focus","A. Mehrotra","Deptt. of Business & Management, Amity University, Dubai, Dubai, UAE","2019 International Conference on Automation, Computational and Technology Management (ICACTM)","","2019","","","103","107","Financial Inclusion and inclusive growth is the clarion call given by nations all across the globe as they become increasingly aware that growth is more sustainable when it is inclusive. Close on the heels of this awakening comes the FinTech revolution which questions the role of traditional players in promoting the inclusion and fosters the same. While the regulated traditional banking channel has been engaged in meeting the challenges of inclusive growth, the emergence of technology is sweeping across the sub-continent marked by stupendous growth in electronic market, smart phone penetration, cloud based solutions and the emergence of financial technology companies providing services and products similar and parallel to banking. Even as FinTech seems to redefine the service quality and product delivery through innovative use of technology in design and delivery of financial products and services, there is a need to moderate the hype by introducing a robust regulatory framework to strike a balance between innovation and compliance and to ensure a service orientation over and above the pure commercial instinct. The instant paper attempts to examine the phenomenal role of FinTech in filling the wide gap of Financial Inclusion, the need for its reorientation towards poorest of the poor and the road ahead in the light of multiple challenges that it faces and poses to the traditional players.","","","10.1109/ICACTM.2019.8776857","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8776857","FinTech;Financial Inclusion;Sandbox;G-20;Blockchain;HLPs;Artificial Intelligence","Banking;Companies;Sociology;Statistics;Collaboration;Automation","bank data processing;cloud computing;customer services;mobile computing;smart phones","traditional players;financial technology companies;service quality;product delivery;financial products;FinTech;financial inclusion;financial services;electronic market;smart phone penetration;cloud based solutions;personal banking","","","","18","","","","","IEEE","IEEE Conferences"
"Binary Classification and Data Analysis for Modeling Calendar Anomalies in Financial Markets","H. Tung; C. Cheng; Y. Chen; Y. Chen; S. Huang; A. Chen","NA; NA; NA; NA; NA; NA","2016 7th International Conference on Cloud Computing and Big Data (CCBD)","","2016","","","116","121","This paper studies on the Day-of-the-week effect by means of several binary classification algorithms in order to achieve the most effective and efficient decision trading support system. This approach utilizes the intelligent data-driven model to predict the influence of calendar anomalies and develop profitable investment strategy. Advanced technology, such as time-series feature extraction, machine learning, and binary classification, are used to improve the system performance and make the evaluation of trading simulation trustworthy. Through experimenting on the component stocks of S&P 500, the results show that the accuracy can achieve 70% when adopting two discriminant feature representation methods, including ""multi-day technical indicators"" and ""intra-day trading profile."" The binary classification method based on LDA-Linear Prior kernel outperforms than other learning techniques and provides the investor a stable and profitable portfolios with low risk. In addition, we believe this paper is a FinTech example which combines advanced interdisciplinary researches, including financial anomalies and big data analysis technology.","","","10.1109/CCBD.2016.032","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7979890","day-of-the-week effect;calendar anomalies;linear discriminant analysis;support vector machine;back-propagation neural networks;technical indicators","Feature extraction;Indexes;Training;Classification algorithms;Kernel;Support vector machines;Investment","Big Data;data analysis;decision support systems;financial data processing;investment;learning (artificial intelligence);pattern classification;stock markets","day-of-the-week effect;binary classification algorithms;decision trading support system;intelligent data-driven model;calendar anomalies;profitable investment;component stocks;S&P 500;discriminant feature representation;multiday technical indicators;intra-day trading profile;LDA-Linear Prior kernel;FinTech;financial anomalies;Big Data analysis technology;financial markets","","2","","19","","","","","IEEE","IEEE Conferences"
"AI Robo-Advisor with Big Data Analytics for Financial Services","M. Day; T. Cheng; J. Li","Department of Information Management, Tamkang University, Taipei, Taiwan; Department of Economics, Tamkang University, Taipei, Taiwan; Yuanta Securities Investment Trust, Index and Quantitative Investment Department, Taipei, Taiwan","2018 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining (ASONAM)","","2018","","","1027","1031","Robo-Advisors has been growing attraction from the financial industry for offering financial services by using algorithms and acting as like human advisors to support investors making investment decisions. During the investment planning stage, portfolio optimization plays a crucial role, especially for the medium and long-term investors, in determining the allocation weight of assets to achieve the balance between investors expectation return and risk tolerance. The literature on the topic of portfolio optimization has been offering plenty of theoretical and practical guidance for implementing the theory; however, there is a paucity of studies focusing on the applications which are designed for Robo-Advisors. In this research, we proposed a modular system and focused on integrating big data analysis, deep learning method and the Black-Litterman model to generate asset allocation weight. We developed a portfolio optimization module which takes the information from a variety of sources, such as stocks prices, investor profile and the other alternative data, and used them as input to calculate optimal weights of assets in the portfolio. The module we developed could be used as a sub-system for Robe-Advisors, which offers a customized optimal portfolio based on investors preference.",";","","10.1109/ASONAM.2018.8508854","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8508854","Robo-Advisors;Investment Management;Financial Technology;Deep Learning;Black-Litterman;Portfolio Optimization;Big Data Analysis","Portfolios;Optimization;Investment;Forecasting;Predictive models;Covariance matrices","Big Data;data analysis;financial data processing;investment;learning (artificial intelligence);optimisation;software agents","AI Robo-advisor;big data analytics;financial services;financial industry;investment decisions;investors expectation return;risk tolerance;portfolio optimization module;customized optimal portfolio;investment planning;big data analysis;asset allocation;deep learning;Black-Litterman model","","","","12","","","","","IEEE","IEEE Conferences"
"Deep learning for financial sentiment analysis on finance news providers","M. Day; C. Lee","Department of Information Management, Tamkang University, Taiwan; Department of Information Management, Tamkang University, Taiwan","2016 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining (ASONAM)","","2016","","","1127","1134","Investors have always been interested in stock price forecasting. Since the development of electronic media, hundreds pieces of financial news are released on different media every day. Numerous studies have attempted to examine whether the stock price forecasting through text mining technology and machine learning could lead to abnormal returns. However, few of them involved the discussion on whether using different media could affect forecasting results. Financial sentiment analysis is an important research area of financial technology (FinTech). This research focuses on investigating the influence of using different financial resources to investment and how to improve the accuracy of forecasting through deep learning. The experimental result shows various financial resources have significantly different effects to investors and their investments, while the accuracy of news categorization could be improved through deep learning.","","","10.1109/ASONAM.2016.7752381","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7752381","Deep Learning;Financial Sentiment Analysis;Financial Technology (FinTech);Finance News Providers;Stock Prediction","Machine learning;Media;Text mining;Share prices;Investment;Forecasting","data mining;financial management;learning (artificial intelligence);sentiment analysis","deep learning;financial sentiment analysis;finance news providers;stock price forecasting;electronic media;text mining technology;machine learning;financial technology;FinTech","","5","","17","","","","","IEEE","IEEE Conferences"
"A Budding Romance: Finance and AI","X. P. S. Zhang; D. Kedmey","EidoSearch; EidoSearch","IEEE MultiMedia","","2018","25","4","79","83","Enthusiasm for artificial intelligence and multimedia information in the financial industry is at an all time high. Every leader in finance now feels the pressure to answer the question, “What is your AI strategy?” Start-ups are playing a key role in helping the financial sector determine what AI can do and how humans and machines can work together. In this essay, we describe emerging trends and attempts by FinTech start-ups to apply AI and multimedia information processing techniques across a wide range of business needs.",";","","10.1109/MMUL.2018.2875858","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8614276","","Industries;Companies;Machine learning;Ecosystems;Insurance","artificial intelligence;financial data processing;multimedia computing","finance;artificial intelligence;financial industry;AI strategy;financial sector;FinTech start-ups;multimedia information processing techniques","","","","9","","","","","IEEE","IEEE Magazines"
